姓名,國文,英文,數學,社會,地理
林佳蓉,93,60,98,85,84
尚偉倫,56,71,58,74,52
林益妏,67,83,91,62,79
陳信念,57,95,91,94,89
張莉雯,83,98,96,75,71
翁鈺婷,59,86,87,83,100
陳建豪,90,57,100,89,97
黃翔杰,75,66,84,81,86
趙家豪,62,68,58,74,52
鄭奇翰,52,97,74,53,81
張家秀,100,51,62,77,61
余宗儒,70,75,73,72,80
葉志峰,84,100,97,51,85
翁鈺婷,71,81,77,94,78
王筱婷,82,59,75,100,58
林麗萍,52,56,66,69,69
鄭孟芳,76,51,72,83,51
謝佳穎,99,69,84,64,87
胡淑貞,57,65,54,62,65
蒙淑惠,92,79,88,84,90
郎慧萍,59,63,50,100,89
吳晴洋,54,94,100,53,63
潘英迪,83,92,53,67,70
陳家維,80,58,88,95,98
盧冠發,53,85,66,83,66
王人仰,68,80,73,88,74
黃雅慧,71,63,82,77,59
李政成,91,69,81,83,59
林昱芳,65,76,73,99,76
林昱芳,71,68,55,69,81
彭偉妃,69,75,50,89,82
劉依婷,91,97,91,74,69
方雅慧,73,72,98,93,99
王德城,61,83,64,85,59
王士銘,75,72,54,59,72
陳奇瑄,66,78,96,86,68
高智超,58,98,80,56,58
艾巧夫,80,84,83,54,93
游一鈺,62,68,66,51,52
崔孝憲,69,94,71,99,69
